Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Squad
2019-11-30,20:00,Ligue 1,Matchweek 15,Sat,Home,D,1,1,Metz,0.7,0.8,56.0,12180.0,Anthony Briançon,4-4-2,4-3-3,Hakim Ben El Hadj Salem,Match Report,,Nimes
2019-12-03,19:00,Ligue 1,Matchweek 16,Tue,Away,L,0,6,Bordeaux,0.3,2.1,28.0,12419.0,Anthony Briançon,4-3-3,3-4-3,Clément Turpin,Match Report,,Nimes
2019-12-06,20:45,Ligue 1,Matchweek 17,Fri,Home,L,0,4,Lyon,0.2,3.2,23.0,12801.0,Anthony Briançon,4-4-2,4-2-3-1,Olivier Thual,Match Report,,Nimes
2019-12-14,20:00,Ligue 1,Matchweek 18,Sat,Home,L,0,1,Nantes,0.8,1.4,55.0,12098.0,Anthony Briançon,4-4-2,4-2-3-1,Karim Abed,Match Report,,Nimes
2019-12-18,21:05,Coupe de la Ligue,Round of 16,Wed,Home,L,1,2,Saint-Étienne,,,45.0,4240.0,Anthony Briançon,4-4-2,3-5-2,Antony Gautier,Match Report,,Nimes
2019-12-21,20:45,Ligue 1,Matchweek 19,Sat,Away,L,1,3,Marseille,1.0,2.0,43.0,59043.0,Anthony Briançon,4-4-2,4-3-3,François Letexier,Match Report,,Nimes
2020-01-04,15:00,Coupe de France,Round of 64,Sat,Away,D,2 (4),2 (2),Tours FC,,,,3186.0,Anthony Briançon,3-1-4-2,4-1-4-1,Clément Turpin,Match Report,Nîmes won on penalty kicks following extra time,Nimes
2020-01-11,20:00,Ligue 1,Matchweek 20,Sat,Home,W,2,0,Reims,1.7,0.3,49.0,11867.0,Anthony Briançon,4-2-3-1,4-4-2,Olivier Thual,Match Report,,Nimes
2020-01-15,19:00,Ligue 1,Matchweek 12,Wed,Home,L,0,1,Rennes,0.3,0.6,55.0,12388.0,Anthony Briançon,4-3-3,4-4-2,Willy Delajod,Match Report,,Nimes
2020-01-19,17:15,Coupe de France,Round of 32,Sun,Away,L,0,5,Dijon,,,,7964.0,Gaëtan Paquiez,4-2-3-1,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,Nimes
2020-01-25,20:00,Ligue 1,Matchweek 21,Sat,Away,L,1,2,Saint-Étienne,0.9,2.0,50.0,23927.0,Pablo Martinez,4-4-2,4-2-3-1,Jeremy Stinat,Match Report,,Nimes
2020-02-01,20:00,Ligue 1,Matchweek 22,Sat,Home,W,3,1,Monaco,1.9,0.9,61.0,12580.0,Pablo Martinez,4-2-3-1,4-3-3,Mikael Lesage,Match Report,,Nimes
2020-02-05,19:00,Ligue 1,Matchweek 23,Wed,Home,W,2,0,Dijon,1.4,0.6,38.0,11705.0,Pablo Martinez,4-2-3-1,4-2-3-1,Florent Batta,Match Report,,Nimes
2020-02-08,20:00,Ligue 1,Matchweek 24,Sat,Away,W,3,1,Nice,1.3,0.7,42.0,15603.0,Pablo Martinez,4-2-3-1,4-3-3,Antony Gautier,Match Report,,Nimes
2020-02-15,20:00,Ligue 1,Matchweek 25,Sat,Home,W,1,0,Angers,1.2,0.5,50.0,12417.0,Pablo Martinez,4-2-3-1,4-1-4-1,Karim Abed,Match Report,,Nimes
2020-02-23,17:00,Ligue 1,Matchweek 26,Sun,Away,L,1,2,Rennes,0.4,2.5,36.0,28084.0,Anthony Briançon,4-2-3-1,4-4-2,Stéphanie Frappart,Match Report,,Nimes
2020-02-28,20:45,Ligue 1,Matchweek 27,Fri,Home,L,2,3,Marseille,1.8,1.9,49.0,13755.0,Renaud Ripart,4-2-3-1,4-2-3-1,Clément Turpin,Match Report,,Nimes
2020-03-07,20:00,Ligue 1,Matchweek 28,Sat,Away,L,1,2,Metz,1.3,1.2,44.0,14797.0,Renaud Ripart,4-2-2-2,4-3-3,Ruddy Buquet,Match Report,,Nimes
2020-03-14,20:00,Ligue 1,Matchweek 29,Sat,Away,,,,Nantes,,,,,,,,,Match Report,Match Cancelled,Nimes
2020-03-21,20:00,Ligue 1,Matchweek 30,Sat,Home,,,,Bordeaux,,,,,,,,,Match Report,Match Cancelled,Nimes
2020-04-05,,Ligue 1,Matchweek 31,Sun,Away,,,,Lyon,,,,,,,,,Match Report,Match Cancelled,Nimes
2020-04-11,,Ligue 1,Matchweek 32,Sat,Home,,,,Montpellier,,,,,,,,,Match Report,Match Cancelled,Nimes
2020-04-18,,Ligue 1,Matchweek 33,Sat,Away,,,,Amiens,,,,,,,,,Match Report,Match Cancelled,Nimes
2020-04-26,,Ligue 1,Matchweek 34,Sun,Home,,,,Lille,,,,,,,,,Match Report,Match Cancelled,Nimes
2020-05-02,,Ligue 1,Matchweek 35,Sat,Away,,,,Toulouse,,,,,,,,,Match Report,Match Cancelled,Nimes
2020-05-09,,Ligue 1,Matchweek 36,Sat,Home,,,,Strasbourg,,,,,,,,,Match Report,Match Cancelled,Nimes
2020-05-16,,Ligue 1,Matchweek 37,Sat,Away,,,,Brest,,,,,,,,,Match Report,Match Cancelled,Nimes
2020-05-23,,Ligue 1,Matchweek 38,Sat,Home,,,,Paris S-G,,,,,,,,,Match Report,Match Cancelled,Nimes
2018-08-11,20:00,Ligue 1,Matchweek 1,Sat,Away,W,4,3,Angers,1.5,2.8,43.0,9534.0,Anthony Briançon,4-4-2,4-2-3-1,Antony Gautier,Match Report,,Nimes
2018-08-19,21:00,Ligue 1,Matchweek 2,Sun,Home,W,3,1,Marseille,1.4,1.2,39.0,15285.0,Anthony Briançon,4-4-2,4-2-3-1,Benoît Bastien,Match Report,,Nimes
2018-08-25,20:00,Ligue 1,Matchweek 3,Sat,Away,L,0,1,Toulouse,0.6,2.8,39.0,11746.0,Anthony Briançon,4-4-2,4-2-3-1,Franck Schneider,Match Report,,Nimes
2018-09-01,17:00,Ligue 1,Matchweek 4,Sat,Home,L,2,4,Paris S-G,1.3,2.2,40.0,15311.0,Anthony Briançon,4-3-3,4-2-3-1,Jérôme Brisard,Match Report,,Nimes
2018-09-16,17:00,Ligue 1,Matchweek 5,Sun,Away,D,3,3,Bordeaux,1.6,1.2,50.0,15895.0,Anthony Briançon,4-4-2,4-2-3-1,Antony Gautier,Match Report,,Nimes
2018-09-21,20:45,Ligue 1,Matchweek 6,Fri,Away,D,1,1,Monaco,0.6,1.7,43.0,6837.0,Anthony Briançon,4-4-2,4-2-3-1,Amaury Delerue,Match Report,,Nimes
2018-09-26,19:00,Ligue 1,Matchweek 7,Wed,Home,D,0,0,Guingamp,1.0,0.4,58.0,13415.0,Renaud Ripart,4-4-2,5-4-1,Benoît Millot,Match Report,,Nimes
2018-09-30,17:00,Ligue 1,Matchweek 8,Sun,Away,L,0,3,Montpellier,1.0,2.5,42.0,20054.0,Anthony Briançon,4-4-2,3-4-1-2,Ruddy Buquet,Match Report,,Nimes
2018-10-06,20:00,Ligue 1,Matchweek 9,Sat,Home,D,0,0,Reims,0.9,1.2,63.0,12958.0,Anthony Briançon,4-4-2,4-2-3-1,Karim Abed,Match Report,,Nimes
2018-10-19,20:45,Ligue 1,Matchweek 10,Fri,Away,L,0,2,Lyon,1.4,1.9,40.0,42896.0,Féthi Harek,4-3-3,4-1-2-1-2,Olivier Thual,Match Report,,Nimes
2018-10-26,20:45,Ligue 1,Matchweek 11,Fri,Home,D,1,1,Saint-Étienne,1.3,0.8,52.0,15412.0,Anthony Briançon,4-4-2,4-2-3-1,François Letexier,Match Report,,Nimes
2018-11-03,20:00,Ligue 1,Matchweek 12,Sat,Away,W,4,0,Dijon,2.2,1.8,29.0,12113.0,Anthony Briançon,4-4-2,4-1-4-1,Franck Schneider,Match Report,,Nimes
2018-11-10,20:00,Ligue 1,Matchweek 13,Sat,Home,L,0,1,Nice,1.1,1.3,31.0,14290.0,Anthony Briançon,4-4-2,3-5-2,Benoît Bastien,Match Report,,Nimes
2018-11-24,20:00,Ligue 1,Matchweek 14,Sat,Away,W,1,0,Strasbourg,1.0,0.9,35.0,25128.0,Anthony Briançon,4-3-3,3-4-1-2,Benoît Millot,Match Report,,Nimes
2018-11-27,19:00,Coupe de la Ligue,Third round,Tue,Home,D,1 (4),1 (2),Saint-Étienne,,,,6260.0,Féthi Harek,4-3-3,4-2-3-1,Mikael Lesage,Match Report,Nîmes won on penalty kicks following extra time,Nimes
2018-12-01,20:00,Ligue 1,Matchweek 15,Sat,Home,W,3,0,Amiens,1.8,0.9,52.0,12159.0,Anthony Briançon,4-3-3,3-4-1-2,Karim Abed,Match Report,,Nimes
2018-12-05,19:00,Ligue 1,Matchweek 16,Wed,Away,W,2,1,Caen,3.0,1.0,54.0,14501.0,Féthi Harek,4-3-3,3-1-4-2,Florent Batta,Match Report,,Nimes
2018-12-16,15:00,Ligue 1,Matchweek 18,Sun,Home,L,2,3,Lille,1.0,0.6,67.0,13428.0,Anthony Briançon,4-3-3,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,Nimes
2018-12-19,21:05,Coupe de la Ligue,Round of 16,Wed,Away,L,1,2,Le Havre,,,,6150.0,Theo Valls,4-3-3,4-2-3-1,François Letexier,Match Report,,Nimes
2018-12-22,21:00,Ligue 1,Matchweek 19,Sat,Away,L,0,4,Rennes,0.9,2.7,54.0,22430.0,Anthony Briançon,4-3-3,4-2-3-1,Jeremy Stinat,Match Report,,Nimes
2019-01-05,15:00,Coupe de France,Round of 64,Sat,Away,L,0,3,Lyon-Duchère,,,,1500.0,Féthi Harek,4-3-3,4-3-1-2,Clément Turpin,Match Report,,Nimes
2019-01-16,19:00,Ligue 1,Matchweek 17,Wed,Home,W,1,0,Nantes,0.9,0.6,57.0,12806.0,Anthony Briançon,4-4-2,4-3-3,Hakim Ben El Hadj Salem,Match Report,,Nimes
2019-01-19,20:00,Ligue 1,Matchweek 21,Sat,Home,L,0,1,Toulouse,1.0,0.9,57.0,12736.0,Anthony Briançon,4-4-2,3-4-3,Jérôme Brisard,Match Report,,Nimes
