Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Squad
2018-09-01,15:30,Bundesliga,Matchweek 2,Sat,Home,W,3,1,Freiburg,3.7,1.2,59.0,28619.0,Kevin Vogt,3-5-2,4-2-3-1,Robert Hartmann,Match Report,,Hoffenheim
2018-09-15,15:30,Bundesliga,Matchweek 3,Sat,Away,L,1,2,Düsseldorf,2.2,1.8,67.0,40111.0,Kevin Vogt,3-5-2,5-3-2,Tobias Stieler,Match Report,,Hoffenheim
2018-09-19,19:55,Champions Lg,Group stage,Wed,Away,D,2,2,ua Shakhtar,1.8,0.6,34.0,28336.0,Kevin Vogt,5-3-2,4-2-3-1,Jakob Kehlet,Match Report,,Hoffenheim
2018-09-22,15:30,Bundesliga,Matchweek 4,Sat,Home,D,1,1,Dortmund,2.0,1.3,40.0,30150.0,Kevin Vogt,3-5-2,4-2-3-1,Harm Osmers,Match Report,,Hoffenheim
2018-09-25,20:30,Bundesliga,Matchweek 5,Tue,Away,W,3,1,Hannover 96,1.9,2.2,42.0,33500.0,Kevin Vogt,3-5-2,4-3-3,Christian Dingert,Match Report,,Hoffenheim
2018-09-29,15:30,Bundesliga,Matchweek 6,Sat,Home,L,1,2,RB Leipzig,1.8,1.5,56.0,28115.0,Oliver Baumann,3-5-2,5-3-2,Deniz Aytekin,Match Report,,Hoffenheim
2018-10-02,18:55,Champions Lg,Group stage,Tue,Home,L,1,2,eng Manchester City,0.6,2.2,34.0,24851.0,Oliver Baumann,4-3-3,4-3-3,Matej Jug,Match Report,,Hoffenheim
2018-10-07,15:30,Bundesliga,Matchweek 7,Sun,Home,L,1,2,Eint Frankfurt,2.7,0.9,69.0,29785.0,Kevin Vogt,3-5-2,3-5-2,Daniel Siebert,Match Report,,Hoffenheim
2018-10-20,15:30,Bundesliga,Matchweek 8,Sat,Away,W,3,1,Nürnberg,2.5,1.1,70.0,36472.0,Kevin Vogt,3-5-2,4-1-4-1,Felix Zwayer,Match Report,,Hoffenheim
2018-10-23,21:00,Champions Lg,Group stage,Tue,Home,D,3,3,fr Lyon,4.1,1.5,55.0,24144.0,Kevin Vogt,3-4-3,4-3-3,Alberto Undiano,Match Report,,Hoffenheim
2018-10-27,18:30,Bundesliga,Matchweek 9,Sat,Home,W,4,0,Stuttgart,2.8,0.3,74.0,30150.0,Kevin Vogt,4-1-3-2,5-3-2,Frank Willenborg,Match Report,,Hoffenheim
2018-10-31,20:45,DFB-Pokal,Second round,Wed,Away,L,0,2,RB Leipzig,,,51.0,21042.0,Kevin Vogt,5-3-2,4-3-1-2,Marco Fritz,Match Report,,Hoffenheim
2018-11-03,15:30,Bundesliga,Matchweek 10,Sat,Away,W,4,1,Leverkusen,1.8,2.4,41.0,27589.0,Kevin Vogt,3-4-1-2,3-4-3,Tobias Stieler,Match Report,,Hoffenheim
2018-11-07,21:00,Champions Lg,Group stage,Wed,Away,D,2,2,fr Lyon,1.9,2.5,49.0,53850.0,Kevin Vogt,3-5-2,3-5-1-1,Danny Makkelie,Match Report,,Hoffenheim
2018-11-10,15:30,Bundesliga,Matchweek 11,Sat,Home,W,2,1,Augsburg,1.9,1.4,50.0,27009.0,Kevin Vogt,4-3-3,3-4-3,Robert Schröder,Match Report,,Hoffenheim
2018-11-24,15:30,Bundesliga,Matchweek 12,Sat,Away,D,3,3,Hertha BSC,1.3,3.1,43.0,44508.0,Kevin Vogt,3-5-2,4-2-3-1,Tobias Welz,Match Report,,Hoffenheim
2018-11-27,21:00,Champions Lg,Group stage,Tue,Home,L,2,3,ua Shakhtar,1.3,2.1,59.0,22920.0,Kevin Vogt,4-3-3,5-3-2,Filip Glova,Match Report,,Hoffenheim
2018-12-01,18:30,Bundesliga,Matchweek 13,Sat,Home,D,1,1,Schalke 04,2.1,2.2,49.0,30000.0,Kevin Vogt,3-1-4-2,4-1-2-1-2,Robert Kampka,Match Report,,Hoffenheim
2018-12-08,15:30,Bundesliga,Matchweek 14,Sat,Away,D,2,2,Wolfsburg,1.7,0.5,48.0,20602.0,Kevin Vogt,4-1-4-1,4-3-3,Felix Zwayer,Match Report,,Hoffenheim
2018-12-12,20:00,Champions Lg,Group stage,Wed,Away,L,1,2,eng Manchester City,1.4,3.4,39.0,50411.0,Benjamin Hübner,4-3-3,4-3-3,Andreas Ekberg,Match Report,,Hoffenheim
2018-12-15,15:30,Bundesliga,Matchweek 15,Sat,Home,D,0,0,Gladbach,3.8,0.4,61.0,30150.0,Oliver Baumann,3-4-3,4-3-3,Benjamin Cortus,Match Report,,Hoffenheim
2018-12-19,20:30,Bundesliga,Matchweek 16,Wed,Away,D,1,1,Werder Bremen,1.9,2.4,49.0,40003.0,Oliver Baumann,3-4-3,4-3-1-2,Markus Schmidt,Match Report,,Hoffenheim
2018-12-23,18:00,Bundesliga,Matchweek 17,Sun,Home,D,1,1,Mainz 05,2.4,1.1,67.0,28216.0,Kevin Vogt,3-4-3,4-3-1-2,Sascha Stegemann,Match Report,,Hoffenheim
2019-01-18,20:30,Bundesliga,Matchweek 18,Fri,Home,L,1,3,Bayern Munich,1.2,3.1,44.0,30150.0,Kevin Vogt,3-5-2,4-2-3-1,Tobias Welz,Match Report,,Hoffenheim
2019-01-26,15:30,Bundesliga,Matchweek 19,Sat,Away,W,4,2,Freiburg,3.3,1.7,57.0,23900.0,Kevin Vogt,4-3-3,4-2-3-1,Bibiana Steinhaus,Match Report,,Hoffenheim
2019-02-02,15:30,Bundesliga,Matchweek 20,Sat,Home,D,1,1,Düsseldorf,1.7,1.2,63.0,24747.0,Kevin Vogt,4-1-2-1-2◆,5-3-2,Benjamin Cortus,Match Report,,Hoffenheim
2019-02-09,15:30,Bundesliga,Matchweek 21,Sat,Away,D,3,3,Dortmund,1.5,2.0,41.0,81365.0,Benjamin Hübner,3-1-4-2,4-2-3-1,Marco Fritz,Match Report,,Hoffenheim
2019-02-16,15:30,Bundesliga,Matchweek 22,Sat,Home,W,3,0,Hannover 96,3.3,0.3,61.0,23404.0,Kevin Vogt,3-4-3,5-4-1,Daniel Siebert,Match Report,,Hoffenheim
2019-02-25,20:30,Bundesliga,Matchweek 23,Mon,Away,D,1,1,RB Leipzig,1.3,1.7,48.0,33569.0,Oliver Baumann,4-1-2-1-2◆,3-5-2,Felix Brych,Match Report,,Hoffenheim
2019-03-02,15:30,Bundesliga,Matchweek 24,Sat,Away,L,2,3,Eint Frankfurt,1.8,2.3,49.0,49500.0,Oliver Baumann,3-4-3,3-4-1-2,Manuel Gräfe,Match Report,,Hoffenheim
2019-03-10,15:30,Bundesliga,Matchweek 25,Sun,Home,W,2,1,Nürnberg,2.9,0.8,64.0,29015.0,Kevin Vogt,3-5-2,4-5-1,Christian Dingert,Match Report,,Hoffenheim
2019-03-16,15:30,Bundesliga,Matchweek 26,Sat,Away,D,1,1,Stuttgart,2.4,1.2,60.0,56743.0,Kevin Vogt,3-4-1-2,3-4-3,Felix Zwayer,Match Report,,Hoffenheim
2019-03-29,20:30,Bundesliga,Matchweek 27,Fri,Home,W,4,1,Leverkusen,1.5,1.9,36.0,28350.0,Kevin Vogt,4-3-3,4-3-3,Harm Osmers,Match Report,,Hoffenheim
2019-04-07,15:30,Bundesliga,Matchweek 28,Sun,Away,W,4,0,Augsburg,3.3,0.7,58.0,27552.0,Kevin Vogt,4-2-2-2,5-4-1,Robert Schröder,Match Report,,Hoffenheim
2019-04-14,13:30,Bundesliga,Matchweek 29,Sun,Home,W,2,0,Hertha BSC,3.2,0.4,59.0,28010.0,Kevin Vogt,4-3-1-2,4-2-3-1,Martin Petersen,Match Report,,Hoffenheim
2019-04-20,20:30,Bundesliga,Matchweek 30,Sat,Away,W,5,2,Schalke 04,1.9,2.0,60.0,58958.0,Kevin Vogt,3-4-3,3-1-4-2,Christian Dingert,Match Report,,Hoffenheim
2019-04-28,15:30,Bundesliga,Matchweek 31,Sun,Home,L,1,4,Wolfsburg,3.0,1.9,46.0,27725.0,Kevin Vogt,3-4-3,4-3-1-2,Deniz Aytekin,Match Report,,Hoffenheim
2019-05-04,15:30,Bundesliga,Matchweek 32,Sat,Away,D,2,2,Gladbach,2.6,1.1,57.0,51807.0,Kevin Vogt,3-4-3,3-1-4-2,Sascha Stegemann,Match Report,,Hoffenheim
2019-05-11,15:30,Bundesliga,Matchweek 33,Sat,Home,L,0,1,Werder Bremen,2.1,0.9,64.0,30150.0,Kevin Vogt,3-4-1-2,4-1-2-1-2,Bastian Dankert,Match Report,,Hoffenheim
2019-05-18,15:30,Bundesliga,Matchweek 34,Sat,Away,L,2,4,Mainz 05,1.7,2.9,44.0,28305.0,Kevin Vogt,4-3-2-1,4-3-1-2,Deniz Aytekin,Match Report,,Hoffenheim
2022-07-31,18:01,DFB-Pokal,Round of 64,Sun,Away,D,4 (5),4 (6),Braunschweig,,,61.0,14126.0,Marvin Plattenhardt,4-3-3,4-2-3-1,Tobias Stieler,Match Report,Braunschweig won on penalty kicks following extra time,Hertha-BSC
2022-08-06,15:30,Bundesliga,Matchweek 1,Sat,Away,L,1,3,Union Berlin,0.3,1.0,51.0,22012.0,Marvin Plattenhardt,4-3-3,3-5-2,Marco Fritz,Match Report,,Hertha-BSC
2022-08-13,15:30,Bundesliga,Matchweek 2,Sat,Home,D,1,1,Eint Frankfurt,1.7,1.6,39.0,45000.0,Lucas Tousart,4-3-3,3-4-3,Frank Willenborg,Match Report,,Hertha-BSC
2022-08-19,20:30,Bundesliga,Matchweek 3,Fri,Away,L,0,1,Gladbach,1.0,2.7,36.0,48411.0,Lucas Tousart,4-3-3,4-2-3-1,Matthias Jöllenbeck,Match Report,,Hertha-BSC
2022-08-27,15:30,Bundesliga,Matchweek 4,Sat,Home,L,0,1,Dortmund,0.5,2.7,38.0,62142.0,Marvin Plattenhardt,4-3-3,4-2-3-1,Tobias Stieler,Match Report,,Hertha-BSC
2022-09-04,15:30,Bundesliga,Matchweek 5,Sun,Away,W,2,0,Augsburg,2.1,0.4,52.0,25789.0,Marvin Plattenhardt,4-3-3,3-5-2,Harm Osmers,Match Report,,Hertha-BSC
2022-09-10,15:30,Bundesliga,Matchweek 6,Sat,Home,D,2,2,Leverkusen,1.9,1.3,42.0,40643.0,Marvin Plattenhardt,4-3-3,4-2-3-1,Benjamin Brand,Match Report,,Hertha-BSC
2022-09-16,20:30,Bundesliga,Matchweek 7,Fri,Away,D,1,1,Mainz 05,0.4,0.7,43.0,25300.0,Marvin Plattenhardt,4-3-3,3-4-3,Frank Willenborg,Match Report,,Hertha-BSC
2022-10-02,15:30,Bundesliga,Matchweek 8,Sun,Home,D,1,1,Hoffenheim,0.9,1.4,43.0,41653.0,Marvin Plattenhardt,4-3-3,3-5-2,Christian Dingert,Match Report,,Hertha-BSC
2022-10-09,17:30,Bundesliga,Matchweek 9,Sun,Home,D,2,2,Freiburg,1.6,1.0,42.0,40481.0,Marvin Plattenhardt,4-3-3,4-2-3-1,Robert Schröder,Match Report,,Hertha-BSC
2022-10-15,18:30,Bundesliga,Matchweek 10,Sat,Away,L,2,3,RB Leipzig,2.3,2.9,40.0,47069.0,Marvin Plattenhardt,4-3-3,4-2-2-2,Harm Osmers,Match Report,,Hertha-BSC
2022-10-23,17:30,Bundesliga,Matchweek 11,Sun,Home,W,2,1,Schalke 04,0.8,0.6,54.0,60165.0,Marvin Plattenhardt,4-2-2-2,3-4-1-2,Martin Petersen,Match Report,,Hertha-BSC
2022-10-28,20:30,Bundesliga,Matchweek 12,Fri,Away,L,0,1,Werder Bremen,0.4,1.3,48.0,42100.0,Marvin Plattenhardt,4-4-2,3-1-4-2,Tobias Reichel,Match Report,,Hertha-BSC
2022-11-05,15:30,Bundesliga,Matchweek 13,Sat,Home,L,2,3,Bayern Munich,1.2,1.9,28.0,74667.0,Marvin Plattenhardt,4-4-2,4-2-3-1,Bastian Dankert,Match Report,,Hertha-BSC
2022-11-08,20:30,Bundesliga,Matchweek 14,Tue,Away,L,1,2,Stuttgart,0.7,2.0,40.0,44500.0,Marvin Plattenhardt,4-2-2-2,4-3-3,Frank Willenborg,Match Report,,Hertha-BSC
2022-11-12,15:30,Bundesliga,Matchweek 15,Sat,Home,W,2,0,Köln,1.8,1.8,48.0,60827.0,Marvin Plattenhardt,4-2-2-2,4-2-3-1,Christian Dingert,Match Report,,Hertha-BSC
2023-01-21,15:30,Bundesliga,Matchweek 16,Sat,Away,L,1,3,Bochum,0.9,1.6,51.0,26000.0,Lucas Tousart,4-2-3-1,4-3-3,Martin Petersen,Match Report,,Hertha-BSC
2023-01-24,20:30,Bundesliga,Matchweek 17,Tue,Home,L,0,5,Wolfsburg,0.4,3.1,42.0,29483.0,Lucas Tousart,4-2-3-1,4-3-3,Tobias Reichel,Match Report,,Hertha-BSC
2023-01-28,15:30,Bundesliga,Matchweek 18,Sat,Home,L,0,2,Union Berlin,0.5,1.0,52.0,74667.0,Marvin Plattenhardt,4-3-3,3-5-2,Felix Brych,Match Report,,Hertha-BSC
2023-02-04,15:30,Bundesliga,Matchweek 19,Sat,Away,L,0,3,Eint Frankfurt,0.9,2.2,38.0,49500.0,Marvin Plattenhardt,4-1-4-1,3-4-3,Robert Hartmann,Match Report,,Hertha-BSC
2023-02-12,15:30,Bundesliga,Matchweek 20,Sun,Home,W,4,1,Gladbach,3.0,0.5,31.0,40973.0,Marvin Plattenhardt,3-5-2,4-2-3-1,Christian Dingert,Match Report,,Hertha-BSC
2023-02-19,17:30,Bundesliga,Matchweek 21,Sun,Away,L,1,4,Dortmund,1.1,2.5,42.0,81365.0,Marvin Plattenhardt,3-1-4-2,4-5-1,Harm Osmers,Match Report,,Hertha-BSC
2023-02-25,15:30,Bundesliga,Matchweek 22,Sat,Home,W,2,0,Augsburg,0.6,0.5,44.0,40522.0,Marvin Plattenhardt,3-5-2,4-4-2,Matthias Jöllenbeck,Match Report,,Hertha-BSC
2023-03-05,15:30,Bundesliga,Matchweek 23,Sun,Away,L,1,4,Leverkusen,1.1,1.6,39.0,30210.0,Marvin Plattenhardt,3-5-2,3-4-3,Patrick Ittrich,Match Report,,Hertha-BSC
2023-03-11,15:30,Bundesliga,Matchweek 24,Sat,Home,D,1,1,Mainz 05,1.5,0.5,41.0,41689.0,Marvin Plattenhardt,3-1-4-2,3-4-3,Benjamin Cortus,Match Report,,Hertha-BSC
2023-03-18,15:30,Bundesliga,Matchweek 25,Sat,Away,L,1,3,Hoffenheim,1.0,2.6,52.0,25027.0,Marvin Plattenhardt,3-5-2,3-4-3,Frank Willenborg,Match Report,,Hertha-BSC
2023-04-01,15:30,Bundesliga,Matchweek 26,Sat,Away,D,1,1,Freiburg,1.8,1.2,42.0,34700.0,Marvin Plattenhardt,3-5-2,3-4-3,Sven Jablonski,Match Report,,Hertha-BSC
2023-04-08,18:30,Bundesliga,Matchweek 27,Sat,Home,L,0,1,RB Leipzig,0.5,2.0,34.0,50679.0,Marvin Plattenhardt,3-5-2,3-4-3,Deniz Aytekin,Match Report,,Hertha-BSC
2023-04-14,20:30,Bundesliga,Matchweek 28,Fri,Away,L,2,5,Schalke 04,1.6,2.2,49.0,61981.0,Marvin Plattenhardt,3-5-2,4-2-3-1,Felix Brych,Match Report,,Hertha-BSC
2023-04-22,15:30,Bundesliga,Matchweek 29,Sat,Home,L,2,4,Werder Bremen,1.6,2.0,54.0,74667.0,Marvin Plattenhardt,4-1-4-1,3-5-2,Robert Schröder,Match Report,,Hertha-BSC
2023-04-30,15:30,Bundesliga,Matchweek 30,Sun,Away,L,0,2,Bayern Munich,0.1,2.7,20.0,75000.0,Marvin Plattenhardt,4-4-2,4-2-3-1,Patrick Ittrich,Match Report,,Hertha-BSC
2023-05-06,15:30,Bundesliga,Matchweek 31,Sat,Home,W,2,1,Stuttgart,1.2,1.5,30.0,63443.0,Marvin Plattenhardt,4-4-2,3-4-3,Deniz Aytekin,Match Report,,Hertha-BSC
2023-05-12,20:30,Bundesliga,Matchweek 32,Fri,Away,L,2,5,Köln,1.1,4.3,37.0,50000.0,Marvin Plattenhardt,4-4-2,4-2-3-1,Sven Jablonski,Match Report,,Hertha-BSC
2023-05-20,15:30,Bundesliga,Matchweek 33,Sat,Home,D,1,1,Bochum,1.2,1.1,50.0,70692.0,Kevin-Prince Boateng,4-3-3,4-3-3,Felix Brych,Match Report,,Hertha-BSC
2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Away,W,2,1,Wolfsburg,2.1,3.4,36.0,26775.0,Marvin Plattenhardt,4-2-3-1,3-5-2,Benjamin Cortus,Match Report,,Hertha-BSC
